obs	site	season	location	method	fire	TSF	effort	A_ina	A_nor	C_atl	C_euc	C_for	C_sch	D_gran	E_in	L_dist	L_ed	M_obs	N_stel	Pog	B_sem	C_cris	D_dam
PE2_5	PE2	5	Pinkawillinie	AS	P05	3	525	1	0	0	0	5	1	0	5	0	1	0	9	1	2	2	3
PE2_6	PE2	6	Pinkawillinie	AS	P05	4	550	2	0	0	2	10	0	0	22	0	2	0	18	3	2	1	7
PL1_5	PL1	5	Pinkawillinie	AS	P60	48.95	525	0	0	4	0	1	9	0	2	0	4	0	0	0	3	3	1
PL1_6	PL1	6	Pinkawillinie	AS	P60	49.95	550	1	0	2	0	0	4	0	5	1	3	0	2	0	4	4	0
PL2_5	PL2	5	Pinkawillinie	AS	P60	48.95	525	1	0	1	0	1	10	0	4	0	3	0	0	0	3	6	3
PL2_6	PL2	6	Pinkawillinie	AS	P60	49.95	550	0	0	1	0	0	4	0	5	1	5	0	5	0	0	5	2
PL3_5	PL3	5	Pinkawillinie	AS	P60	48.95	525	0	0	7	0	0	29	0	4	0	4	1	3	1	0	4	5
PL3_6	PL3	6	Pinkawillinie	AS	P60	49.95	550	0	0	3	0	0	16	0	5	0	10	1	0	0	2	6	2
PL4_5	PL4	5	Pinkawillinie	AS	P60	48.95	525	0	0	6	0	0	22	0	0	0	3	0	2	0	2	4	3
PL4_6	PL4	6	Pinkawillinie	AS	P60	49.95	550	0	0	8	0	1	10	0	2	4	8	1	1	7	0	10	9
PM1_5	PM1	5	Pinkawillinie	AS	P01	7.17	525	1	0	0	2	2	0	0	10	0	1	0	18	1	1	0	10
PM1_6	PM1	6	Pinkawillinie	AS	P01	8.17	550	1	0	1	0	1	1	0	19	1	2	1	23	3	3	0	9
PM2_5	PM2	5	Pinkawillinie	AS	P01	7.17	525	0	0	0	1	4	0	0	14	0	2	0	16	3	2	4	9
PM2_6	PM2	6	Pinkawillinie	AS	P01	8.17	550	0	0	3	0	3	0	0	19	0	1	0	22	3	4	17	17
I1_1	I1	1	Hincks	DD	H99	5.92	462	3	4	18	1	54	1	5	2	3	4	0	3	1	0	0	0
I1_2	I1	2	Hincks	DD	H99	6.92	308	0	3	4	0	21	1	4	0	0	3	1	7	1	0	0	0
I1_3	I1	3	Hincks	DD	H99	7.92	462	1	6	12	1	72	2	8	11	1	6	2	24	1	0	0	0
I1_4	I1	4	Hincks	DD	H99	8.92	462	1	3	8	7	41	1	6	5	2	4	0	17	1	0	0	0
I2_1	I2	1	Hincks	DD	H99	5.92	462	2	2	8	11	48	0	8	2	4	0	3	7	2	0	0	0
I2_2	I2	2	Hincks	DD	H99	6.92	308	0	4	2	1	29	0	3	3	1	0	1	8	2	0	0	0
I3_1	I3	1	Hincks	DD	H77	27.02	462	1	2	9	0	3	0	2	0	6	1	2	5	0	0	0	0
I3_2	I3	2	Hincks	DD	H77	28.02	308	0	3	1	0	3	0	5	0	8	3	1	4	0	0	0	0
I3_3	I3	3	Hincks	DD	H06apr	0.67	462	2	0	NA	0	7	0	NA	1	NA	3	NA	12	1	0	0	0
I3_4	I3	4	Hincks	DD	H06apr	1.67	462	4	3	9	1	18	0	16	1	4	2	2	33	1	0	0	0
I4_1	I4	1	Hincks	DD	H77	27.02	462	1	2	13	2	14	0	1	0	6	0	1	0	2	0	0	0
I4_2	I4	2	Hincks	DD	H77	28.02	308	0	0	2	3	5	0	2	0	1	0	1	5	0	0	0	0
I4_3	I4	3	Hincks	DD	H06dec	0.01	462	2	3	NA	6	13	0	NA	0	NA	0	NA	7	5	0	0	0
I4_4	I4	4	Hincks	DD	H06dec	1	462	1	0	1	5	1	0	3	0	2	0	0	3	4	0	0	0
I7_3	I7	3	Hincks	DD	H77	29.02	462	2	1	9	1	9	0	2	7	10	0	1	6	1	0	0	0
I7_4	I7	4	Hincks	DD	H77	30.02	462	3	1	6	5	8	0	10	1	12	2	3	9	1	0	0	0
P1_1	P1	1	Pinkawillinie	DD	P01	3.17	462	0	0	3	8	19	1	0	6	0	0	0	10	8	2	1	10
P1_2	P1	2	Pinkawillinie	DD	P01	4.17	308	0	0	1	4	24	2	12	1	0	0	1	5	4	1	1	3
P1_3	P1	3	Pinkawillinie	DD	P01	5.17	462	1	0	0	5	38	0	0	15	0	0	0	28	2	2	2	24
P1_4	P1	4	Pinkawillinie	DD	P01	6.17	462	1	0	2	9	24	0	0	10	0	2	0	36	5	3	1	14
P2_1	P2	1	Pinkawillinie	DD	P01	3.17	462	0	0	0	0	9	0	0	8	0	1	0	14	5	0	0	7
P2_2	P2	2	Pinkawillinie	DD	P01	4.17	308	1	0	2	0	16	2	3	6	0	1	2	6	3	0	0	0
P2_3	P2	3	Pinkawillinie	DD	P01	5.17	462	1	0	1	4	17	4	0	8	0	3	0	14	4	3	5	13
P2_4	P2	4	Pinkawillinie	DD	P01	6.17	462	0	0	0	2	2	2	0	4	0	0	0	27	2	0	3	9
P3_05_2	P3	2	Pinkawillinie	DD	P05	0.09	154	0	0	NA	1	6	0	NA	0	NA	0	NA	1	NA	0	1	2
P3_1	P3	1	Pinkawillinie	DD	P86	18.1	462	1	0	8	4	14	0	0	7	0	1	2	8	8	3	1	1
P3_3	P3	3	Pinkawillinie	DD	P05	1	462	0	0	0	0	12	0	0	12	0	4	0	7	2	0	5	9
P3_4	P3	4	Pinkawillinie	DD	P05	2	462	0	0	1	0	11	1	0	8	0	6	0	16	4	3	4	10
P3_86_2	P3	2	Pinkawillinie	DD	P86	19.1	154	0	0	1	0	5	0	3	3	0	0	3	6	2	0	2	0
P4_05_2	P4	2	Pinkawillinie	DD	P05	0.09	154	0	0	NA	0	0	0	NA	0	NA	0	NA	2	2	0	4	1
P4_1	P4	1	Pinkawillinie	DD	P86	18.1	462	1	0	4	0	5	1	0	4	0	6	0	10	3	1	6	1
P4_3	P4	3	Pinkawillinie	DD	P05	1	462	0	0	0	0	3	0	0	8	0	2	0	6	1	1	6	11
P4_4	P4	4	Pinkawillinie	DD	P05	2	462	0	0	2	0	1	0	0	4	0	6	0	12	2	1	13	12
P4_86_2	P4	2	Pinkawillinie	DD	P86	19.1	154	0	0	1	0	0	0	0	0	0	4	3	2	1	0	3	0
P7_3	P7	3	Pinkawillinie	DD	P86	20.1	462	1	0	0	0	1	1	0	8	0	17	0	8	4	3	8	0
P7_4	P7	4	Pinkawillinie	DD	P86	21.1	462	0	0	0	0	0	0	0	4	0	14	0	8	3	4	4	0
P8_3	P8	3	Pinkawillinie	DD	P86	20.1	462	0	0	11	0	2	3	2	8	0	5	0	6	8	1	1	3
P8_4	P8	4	Pinkawillinie	DD	P86	21.1	462	1	0	5	0	1	8	2	6	0	3	0	4	1	4	1	1
